id,Info_Source
1000319,Family members
1000319,Friends
1000319,Community health workers
1000319,Red Cross Red Crescent volunteers
1000319,Other community mobilisers
1000319,Community leaders
1000319,Religious leaders
1000319,Any person from the community
1000124,Radio
1000124,TV
1000124,WhatsApp
1000124,Social Media (not WhatsApp)
1000124,Health unit/Health care worker
1000124,Family members
1000124,Friends
1000124,Community health workers
1000124,Community leaders
1000124,Religious leaders
1000124,Any person from the community
1000160,Radio
1000160,TV
1000160,Social Media (not WhatsApp)
1000160,Family members
1000160,Friends
1000184,Radio
1000184,TV
1000184,Social Media (not WhatsApp)
1000184,Family members
1000184,Friends
1000184,Community health workers
1000184,Other community mobilisers
1000184,Community leaders
1000184,Any person from the community
1000172,Radio
1000172,TV
1000172,WhatsApp
1000172,Social Media (not WhatsApp)
1000172,Health unit/Health care worker
1000172,Family members
1000172,Friends
1000172,Community health workers
1000172,Religious leaders
1000172,Any person from the community
1000240,Radio
1000240,TV
1000240,WhatsApp
1000240,Social Media (not WhatsApp)
1000240,Health unit/Health care worker
1000240,Family members
1000240,Friends
1000240,Community health workers
1000240,Red Cross Red Crescent volunteers
1000240,Other community mobilisers
1000240,Community leaders
1000240,Religious leaders
1000240,Traditional healers
1000240,Traditional midwives
1000240,Any person from the community
1000112,Radio
1000112,TV
1000112,WhatsApp
1000112,Social Media (not WhatsApp)
1000263,Radio
1000263,TV
1000263,WhatsApp
1000263,Social Media (not WhatsApp)
1000263,Health unit/Health care worker
1000263,Family members
1000263,Friends
1000263,Community health workers
1000263,Community leaders
1000322,Radio
1000322,TV
1000322,Social Media (not WhatsApp)
1000138,Radio
1000138,TV
1000138,WhatsApp
1000138,Social Media (not WhatsApp)
1000138,Health unit/Health care worker
1000138,Family members
1000138,Friends
1000138,Community health workers
1000138,Other community mobilisers
1000138,Community leaders
1000138,Religious leaders
1000138,Traditional healers
1000138,Traditional midwives
1000138,Any person from the community
1000310,Radio
1000310,TV
1000310,Health unit/Health care worker
1000257,Radio
1000257,TV
1000257,WhatsApp
1000257,Social Media (not WhatsApp)
1000257,Health unit/Health care worker
1000257,Family members
1000257,Friends
1000257,Religious leaders
1000287,Radio
1000287,TV
1000287,WhatsApp
1000287,Health unit/Health care worker
1000287,Family members
1000287,Friends
1000287,Community health workers
1000287,Other community mobilisers
1000287,Community leaders
1000287,Religious leaders
1000287,Traditional midwives
1000287,Any person from the community
1000213,Radio
1000213,TV
1000213,WhatsApp
1000213,Health unit/Health care worker
1000213,Family members
1000213,Friends
1000213,Community health workers
1000213,Community leaders
1000213,Religious leaders
1000218,Radio
1000218,TV
1000218,WhatsApp
1000218,Social Media (not WhatsApp)
1000218,Health unit/Health care worker
1000218,Family members
1000218,Friends
1000218,Community health workers
1000218,Community leaders
1000218,Religious leaders
1000305,Radio
1000305,TV
1000305,Social Media (not WhatsApp)
1000305,Health unit/Health care worker
1000118,Radio
1000118,TV
1000118,WhatsApp
1000118,Social Media (not WhatsApp)
1000118,Health unit/Health care worker
1000118,Family members
1000118,Friends
1000118,Community health workers
1000118,Community leaders
1000118,Religious leaders
1000200,Radio
1000200,TV
1000200,WhatsApp
1000200,Social Media (not WhatsApp)
1000200,Religious leaders
1000248,Radio
1000248,TV
1000248,Health unit/Health care worker
1000248,Family members
1000248,Friends
1000248,Community health workers
1000248,Community leaders
1000248,Religious leaders
1000248,Any person from the community
1000280,TV
1000280,Social Media (not WhatsApp)
1000280,Family members
1000280,Friends
1000234,Radio
1000234,TV
1000234,WhatsApp
1000234,Social Media (not WhatsApp)
1000234,Family members
1000234,Friends
1000234,Other community mobilisers
1000234,Religious leaders
1000234,Any person from the community
1000282,Radio
1000282,TV
1000282,WhatsApp
1000282,Social Media (not WhatsApp)
1000282,Family members
1000282,Friends
1000282,Any person from the community
1000228,Radio
1000228,TV
1000228,WhatsApp
1000228,Social Media (not WhatsApp)
1000242,Radio
1000242,TV
1000242,WhatsApp
1000242,Social Media (not WhatsApp)
1000242,Health unit/Health care worker
1000242,Friends
1000312,Radio
1000312,TV
1000312,WhatsApp
1000312,Social Media (not WhatsApp)
1000312,Health unit/Health care worker
1000312,Family members
1000312,Friends
1000281,Radio
1000281,TV
1000281,Family members
1000281,Friends
1000281,Community health workers
1000281,Community leaders
1000281,Religious leaders
1000281,Traditional healers
1000281,Any person from the community
1000120,TV
1000230,Radio
1000230,TV
1000230,WhatsApp
1000230,Social Media (not WhatsApp)
1000230,Health unit/Health care worker
1000230,Family members
1000230,Friends
1000230,Religious leaders
1000209,Radio
1000209,TV
1000209,Social Media (not WhatsApp)
1000209,Friends
1000276,Radio
1000276,TV
1000276,Social Media (not WhatsApp)
1000232,Radio
1000232,TV
1000232,WhatsApp
1000232,Health unit/Health care worker
1000232,Family members
1000232,Friends
1000232,Community health workers
1000232,Community leaders
1000232,Religious leaders
1000245,Radio
1000245,TV
1000125,Radio
1000125,TV
1000125,WhatsApp
1000125,Social Media (not WhatsApp)
1000125,Family members
1000125,Friends
1000286,Radio
1000286,TV
1000286,WhatsApp
1000286,Social Media (not WhatsApp)
1000286,Health unit/Health care worker
1000286,Family members
1000286,Friends
1000286,Community health workers
