id,Region,Gender,Age,School_Education,Occupation,Aware_Coronavirus,Know_About_Coronavirus,Personal_Risk,Stigma_Perception
1000297,Ashanti,Female,20.0,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,No,No
1000296,Greater Accra,Female,27.0,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,No,Yes
1000250,Central,Female,22.0,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,No,Yes
1000145,Western,Female,21.0,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,No,Yes
1000273,Eastern,Female,21.0,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,No,Yes
1000127,Volta,Male,27.0,Tertiary/University,Other,Yes,It’s a virus that can cause a disease,Yes,Yes
1000247,Western,Female,23.0,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,Yes,Yes
1000227,Greater Accra,Female,21.0,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,No,Yes
1000265,Western,Female,22.0,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,Yes,Yes
1000311,Ashanti,Female,23.0,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,Don´t know,Yes
