id,Prevention_Steps
1000231,Avoid close contact with anyone who has a fever and cough
1000231,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000269,Washing hands regularly using alcohol-based cleaner or soap / water
1000269,Covering mouth and nose when coughing or sneezing
1000269,Avoid close contact with anyone who has a fever and cough
1000269,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000175,Washing hands regularly using alcohol-based cleaner or soap / water
1000175,Covering mouth and nose when coughing or sneezing
1000175,Avoid close contact with anyone who has a fever and cough
1000188,Washing hands regularly using alcohol-based cleaner or soap / water
1000188,Covering mouth and nose when coughing or sneezing
1000188,Avoid close contact with anyone who has a fever and cough
1000123,Washing hands regularly using alcohol-based cleaner or soap / water
1000123,Covering mouth and nose when coughing or sneezing
1000123,Avoid close contact with anyone who has a fever and cough
1000109,Washing hands regularly using alcohol-based cleaner or soap / water
1000109,Covering mouth and nose when coughing or sneezing
1000109,Avoid close contact with anyone who has a fever and cough
1000109,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000270,Washing hands regularly using alcohol-based cleaner or soap / water
1000270,Covering mouth and nose when coughing or sneezing
1000270,Avoid close contact with anyone who has a fever and cough
1000229,Covering mouth and nose when coughing or sneezing
1000229,Avoid close contact with anyone who has a fever and cough
1000150,Washing hands regularly using alcohol-based cleaner or soap / water
1000150,Covering mouth and nose when coughing or sneezing
1000150,Avoid close contact with anyone who has a fever and cough
1000319,Washing hands regularly using alcohol-based cleaner or soap / water
1000319,Covering mouth and nose when coughing or sneezing
1000319,Avoid close contact with anyone who has a fever and cough
1000319,Cook meat and eggs well
1000319,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000124,Washing hands regularly using alcohol-based cleaner or soap / water
1000124,Covering mouth and nose when coughing or sneezing
1000124,Avoid close contact with anyone who has a fever and cough
1000124,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000160,Washing hands regularly using alcohol-based cleaner or soap / water
1000160,Covering mouth and nose when coughing or sneezing
1000160,Avoid close contact with anyone who has a fever and cough
1000160,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000184,Washing hands regularly using alcohol-based cleaner or soap / water
1000184,Covering mouth and nose when coughing or sneezing
1000184,Avoid close contact with anyone who has a fever and cough
1000172,Washing hands regularly using alcohol-based cleaner or soap / water
1000172,Covering mouth and nose when coughing or sneezing
1000172,Avoid close contact with anyone who has a fever and cough
1000172,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000240,Washing hands regularly using alcohol-based cleaner or soap / water
1000240,Covering mouth and nose when coughing or sneezing
1000240,Avoid close contact with anyone who has a fever and cough
1000112,Washing hands regularly using alcohol-based cleaner or soap / water
1000112,Covering mouth and nose when coughing or sneezing
1000112,Avoid close contact with anyone who has a fever and cough
1000112,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000263,Washing hands regularly using alcohol-based cleaner or soap / water
1000263,Covering mouth and nose when coughing or sneezing
1000263,Avoid close contact with anyone who has a fever and cough
1000263,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000322,Washing hands regularly using alcohol-based cleaner or soap / water
1000322,Covering mouth and nose when coughing or sneezing
1000138,Washing hands regularly using alcohol-based cleaner or soap / water
1000138,Covering mouth and nose when coughing or sneezing
1000138,Avoid close contact with anyone who has a fever and cough
1000138,Cook meat and eggs well
1000138,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000310,Washing hands regularly using alcohol-based cleaner or soap / water
1000310,Covering mouth and nose when coughing or sneezing
1000310,Avoid close contact with anyone who has a fever and cough
1000310,Cook meat and eggs well
1000310,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000257,Washing hands regularly using alcohol-based cleaner or soap / water
1000257,Covering mouth and nose when coughing or sneezing
1000257,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000257,Wearing nose mask when moving out and avoiding crowded places. Ensuring  social distancing 
1000287,Washing hands regularly using alcohol-based cleaner or soap / water
1000287,Covering mouth and nose when coughing or sneezing
1000287,Avoid close contact with anyone who has a fever and cough
1000287,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000213,Washing hands regularly using alcohol-based cleaner or soap / water
1000213,Covering mouth and nose when coughing or sneezing
1000213,Avoid close contact with anyone who has a fever and cough
1000213,Cook meat and eggs well
1000218,Washing hands regularly using alcohol-based cleaner or soap / water
1000218,Covering mouth and nose when coughing or sneezing
1000218,Avoid close contact with anyone who has a fever and cough
1000305,Washing hands regularly using alcohol-based cleaner or soap / water
1000305,Covering mouth and nose when coughing or sneezing
